Source,Kind,Value
public,url,http://128.140.36.37/cQtDIo/0.43650426987684443.dat
public,url,http://157.90.166.88/O3ZlYNW/0.7797109211833805.dat
public,url,http://162.55.217.30/gRMS/0.6395541546258323.dat
public,url,http://178.23.190.199:80/share/gsm.msi
public,url,http://5.252.21.207/share/escape.msi
public,url,http://5.252.21.207@80/share/escape.msi
public,url,http://95.164.3.171/share/cisa.msi
public,url,http://sokingscrosshotel.com/share/upd.msi
public,url,http://superior-coin.com/ga/index.php
public,url,http://superior-coin.com/ga/m/6.dll
public,url,https://aprettopizza.world/live/
public,url,https://arsimonopa.com/live
public,url,https://aytobusesre.com/live/
public,url,https://drifajizo.fun/live/
public,url,https://fluraresto.me/live/
public,url,https://frotneels.shop/live/
public,url,https://ginzbargatey.tech/live/
public,url,https://grebiunti.top/live/
public,url,https://hukosafaris.com/elearning/f/q/daas-area/chief/index.php
public,url,https://jertacco.com/live/
public,url,https://lemonimonakio.com/live
public,url,https://mastralakkot.live/live/
public,url,https://mazdakrichest.com/live/
public,url,https://miistoria.com/live
public,url,https://minndarespo.icu/live/
public,url,https://nimeklroboti.info/live/
public,url,https://peermangoz.me/live/
public,url,https://plwskoret.top/live
public,url,https://popfealt.one/live/
public,url,https://postolwepok.tech/live/
public,url,https://riverhasus.com/live/
public,url,https://scifimond.com/live/
public,url,https://sluitionsbad.tech/live/
public,url,https://titnovacrion.top/live/
public,url,https://trasenanoyr.best/live/
public,url,https://zumkoshapsret.com/live/
Anomali,url,file://89.117.2.34/4qp/8Y.txt
Anomali,url,file://89.117.2.33/hvwsuw/udrh.txt
Anomali,url,file://66.63.188.19/bmkmsw/2.txt
Anomali,url,file://103.124.105.233/yusx/dMA.txt
Anomali,url,file://89.117.1.160/4bvt1yw/iC.txt
Anomali,url,file://146.19.213.36/vei/yEZZ.txt
Anomali,url,file://85.239.33.149/naams/p3aV.txt
Anomali,url,file://89.117.2.33/7ipw/7ohq.txt
Anomali,url,file://89.117.1.160/zkf2r4j/VmD.txt
Anomali,url,file://104.129.20.167/xhsmd/bOWEU.txt
Anomali,url,file://103.124.104.76/wsr6oh/Y.txt
Anomali,url,file://103.124.104.22/zjxb/bO.txt
Anomali,url,file://89.117.1.161/epxq/A.txt
Anomali,url,file://103.124.106.224/uuny19/bb1nG.txt
Anomali,url,file://89.117.2.34/3m3sxh6/IuM.txt
Anomali,url,file://103.124.105.208/wha5uxh/D.txt
Anomali,url,file://176.123.2.146/vbcsn/UOx.txt
Anomali,url,file://146.19.213.36/dbna/H.txt
Anomali,url,file://89.117.1.161/mtdi/ZQCw.txt
Anomali,url,file://155.94.208.137/tgnd/zH9.txt
Anomali,url,file://176.123.2.146/5aohv/9mn.txt
Anomali,url,https://148.113.141.220:2224/
Anomali,url,https://109.199.99.131:13721/
Anomali,url,https://154.38.175.241:13721/
public,ip,74.119.193.200
public,ip,77.91.73.187
public,hash_sha256,090f2c5abb85a7b115dc25ae070153e4e958ae4e1bc2310226c05cd3e9429446
public,hash_sha256,0ac5030e2171914f43e0769cb10b602683ccc9da09369bcd4b80da6edb8be80e
public,hash_sha256,0e96cf6166b7cc279f99d6977ab0f45e9f47e827b8a24d6665ac4c29e18b5ce0
public,hash_sha256,10c129e2310342a55df5fa88331f338452835790a379d5230ee8de7d5f28ea1a
public,hash_sha256,378d220bc863a527c2bca204daba36f10358e058df49ef088f8b1045604d9d05
public,hash_sha256,3b63ea8b6f9b2aa847faa11f6cd3eb281abd9b9cceedb570713c4d78a47de567
public,hash_sha256,4416b8c36cb9d7cc261ff6612e105463eb2ccd4681930ca8e277a6387cb98794
public,hash_sha256,47d66c576393a4256d94f5ed1e77adc28426dea027f7a23e2dbf41b93b87bd78
public,hash_sha256,5d881d14d2336273e531b1b3d6f2d907539fe8489cbe80533280c9c72efa2273
public,hash_sha256,60c4b6c230a40c80381ce283f64603cac08d3a69ceea91e257c17282f66ceddc
public,hash_sha256,6904d382bc045eb9a4899a403a8ba8a417d9ccb764f6e0b462bc0232d3b7e7ea
public,hash_sha256,71fb25cc4c05ce9dd94614ed781d85a50dccf69042521abc6782d48df85e6de9
public,hash_sha256,77270e13d01b2318a3f27a9a477b8386f1a0ebc6d44a2c7e185cfbe55aac8017
public,hash_sha256,781c63cf4981fa6aff002188307b278fac9785ca66f0b6dfcf68adbe7512e491
public,hash_sha256,856dfa74e0f3b5b7d6f79491a94560dbf3eacacc4a8d8a3238696fa38a4883ea
public,hash_sha256,88573297f17589963706d9da6ced7893eacbdc7d6bc43780e4c509b88ccd2aef
public,hash_sha256,97e08d1c7970c1c12284c4644e2321ce41e40cdaac941e451db4d334cb9c5492
public,hash_sha256,97e093f2e0bf6dec8392618722dd6b4411088fe752bedece910d11fffe0288a2
public,hash_sha256,9a8847168fa869331faf08db71690f24e567c5cdf1f01cc5e2a8d08c93d282c9
public,hash_sha256,9c27405cf926d36ed8e247c17e6743ac00912789efe0c530914d7495de1e21ec
public,hash_sha256,a189963ff252f547fddfc394c81f6e9d49eac403c32154eebe06f4cddb5a2a22
public,hash_sha256,aa29a8af8d615b1dd9f52fd49d42563fbeafa35ff0ab1b4afc4cb2b2fa54a119
public,hash_sha256,aee22a35cbdac3f16c3ed742c0b1bfe9739a13469cf43b36fb2c63565111028c
public,hash_sha256,bb525dc6b7a7ebefd040e01fd48d7d4e178f8d9e5dec9033078ced4e9aa4e241
public,hash_sha256,d9471b038c44619739176381815bfa9a13b5ff77021007a4ede9b146ed2e04ec
public,hash_sha256,d98cd810d568f338f16c4637e8a9cb01ff69ee1967f4cfc004de3f283d61ba81
public,hash_sha256,db03a34684feab7475862080f59d4d99b32c74d3a152a53b257fd1a443e8ee77
public,hash_sha256,dedbc21afc768d749405de535f9b415baaf96f7664ded55d54829a425fc61d7e
public,hash_sha256,e7ff6a7ac5bfb0bb29547d413591abc7628c7d5576a3b43f6d8e5d95769e553a
public,hash_sha256,e99f3517a36a9f7a55335699cfb4d84d08b042d47146119156f7f3bab580b4d7
public,hash_sha256,edeacd49aff3cfea35d593e455f7caca35ac877ad6dc19054458d41021e0e13a
public,hash_sha256,ee1e5b80a1d3d47c7703ea2b6b64ee96283ab3628ee4fa1fef6d35d1d9051e9f
public,hash_sha256,f9c69e79e7799df31d6516df70148d7832b121d330beebe52cff6606f0724c62
public,hash_sha1,eb51f3b6b62c69672dbeced9ce2252675db44222
Anomali,hash_md5,cd08e31494f9531f560d64c695473da9
public,domain,aprettopizza.world
public,domain,arsimonopa.com
public,domain,fluraresto.me
public,domain,frotneels.shop
public,domain,lemonimonakio.com
public,domain,mastralakkot.live
public,domain,mazdakrichest.com
public,domain,miistoria.com
public,domain,nimeklroboti.info
public,domain,peermangoz.me
public,domain,plwskoret.top
public,domain,postolwepok.tech
public,domain,riverhasus.com
public,domain,trasenanoyr.best
Anomali,hash_md5,89dc50024836f9ad406504a3b7445d284e97ec5dafdd8f2741f496cac84ccda9
Anomali,hash_md5,a982917ba6de9588f0f7ed554223d292524e832c1621acae9ad11c0573df54a5
Anomali,hash_md5,2941d5f8758501f9dbc4ba158058c3b5
Anomali,hash_md5,4c29552b5fcd20e5ed8ec72dd345f2ea573e65412b65c99d897761d97c35ebfd
Anomali,ip,155.94.208.137
Anomali,ip,54.36.229.25
Anomali,ip,89.117.2.34
Anomali,ip,89.117.2.33
Anomali,ip,103.124.104.76
Anomali,ip,204.44.125.68
Anomali,ip,104.129.20.167
Anomali,ip,66.63.188.19
Anomali,ip,103.124.104.22
Anomali,ip,103.124.105.140
Anomali,ip,103.124.105.147
Anomali,domain,hash.10dsecurity.com
Anomali,domain,services-helpdesk.com
Anomali,domain,levelbrin.com
Anomali,domain,appshare-box.com
Anomali,domain,account-office.com
Anomali,domain,redenservices.com
Anomali,domain,mail2.networthfundreport.info
Anomali,domain,shopsportswearamerica.com
Anomali,domain,buysportswearusa.com
Anomali,domain,google-gsuitecloud.com
Anomali,domain,activity-check.com
Anomali,domain,files-adcb.com
Anomali,domain,primrloock.org
Anomali,domain,laboratoriosprovets.com
Anomali,domain,info-zapp.com
Anomali,domain,connect-bsigorup.com
Anomali,domain,docusignservice.com
Anomali,domain,matrix.lakeys.net
Anomali,domain,test.vryno.dev
Anomali,domain,mail2.linkindatafile.info
Anomali,domain,each.zip
Anomali,url,https://loginmlcrosoftonline.wobilya.info/
Anomali,url,http://103.124.105.147/KNaDVX/0.3733734479965182.dat
Anomali,url,http://103.124.105.140/guJ/0.9215685860313316.dat
Anomali,url,http://103.124.105.147/KNaDVX/99.dat
