Source,Kind,Value
Microsoft,hash_sha256,f59035192098e44b86c4648a0de4078edbe80352260276f4755d15d354f5fc58
Microsoft,hash_sha256,cb97ec024c04150ad419d1af2d1eb66b5c48ab5f345409d9d791db574981a3fb
Microsoft,hash_sha256,39d7407e76080ec5d838c8ebca5182f3ac4a5f416ff7bda9cbc4efffd78b4ff5
Microsoft,hash_sha256,70c5b64589277ace59db86d19d846a9236214b48aacabbaf880f2b6355ab5260
Microsoft,hash_sha256,cafaa7bc3277711509dc0800ed53b82f645e86c195e85fbf34430bbc75c39c24
Microsoft,hash_sha256,9863173e0a45318f776e36b1a8529380362af8f3e73a2b4875e30d31ad7bd3c1
Microsoft,hash_sha256,f66122a3e1eaa7dcb7c13838037573dace4e5a1c474a23006417274c0c8608be
Microsoft,hash_sha256,56554117d96d12bd3504ebef2a8f28e790dd1fe583c33ad58ccbf614313ead8c 
Microsoft,hash_sha256,ecce739b556f26de07adbfc660a958ba2dca432f70a8c4dd01466141a6551146
Microsoft,hash_sha256,09d152aa2b6261e3b0a1d1c19fa8032f215932186829cfcca954cc5e84a6cc38
Microsoft,domain,bestonlinefilmstudio.org
Microsoft,domain,blockchain-newtech.com
Microsoft,domain,ccwaterfall.com
Microsoft,domain,chaingrown.com
Microsoft,domain,defitankzone.com
Microsoft,domain,detankwar.com
Microsoft,domain,freenet-zhilly.org
Microsoft,domain,matrixane.com
Microsoft,domain,pointdnt.com
Microsoft,domain,starglowventures.com
Microsoft,domain,mingeloem.com
FirstEnergy,domain,nca.zip
Proofpoint,hash_sha256,d2fad779289732d1edf932b62278eb3090eb814d624f2e0a4fbbc613495c55e8
VCYBER,hash_sha256,69c3a92757f79a0020cf1711cda4a724633d535f75bbef2bd74e07a902831d59
VCYBER,hash_sha256,5cd4003ccaa479734c7f5a01c8ff95891831a29d857757bbd7fe4294f3c5c126
Proofpoint,hash_sha256,30584f13c0a9d0c86562c803de350432d5a0607a06b24481ad4d92cdf7288213
VCYBER,hash_sha256,02f4186b532b3e33a5cd6d9a39d9469b8d9c12df7cb45dba6dcab912b03e3cb8
FirstEnergy,hash_sha256,e87978f0af9bb550ab4686a7d3657e6cbfd92347744dfce8ff2321781ac2eee0
FirstEnergy,hash_sha256,d65b31617c9b8c644748d520242e8c363622894628ec46a63c1630ef648ce89c
FirstEnergy,hash_sha256,c59b2d6a70bc5b84998aebb2d21241a8adef33724838e92db4dee36a1ce46f43
FirstEnergy,hash_sha256,aeb6928db14a89b7c8d33f62ee6c17f25b46e936b6b9fb8be11f4019c4c5fe8c
FirstEnergy,hash_sha256,ae22f9da201032d007a0b3f54c3a53ea7a41292bba6e9855d48dd21b55c048ae
FirstEnergy,hash_sha256,a5a160f11593ee4b43723244b2aac6f06733329cef1d101e34ff5c880662caf4
FirstEnergy,hash_sha256,a24f7169f7f6f4f470fc21f8789efeaf96edb581479db9e8dea2e3130fbc559f
FirstEnergy,hash_sha256,9a61c57f23a4ecccfd1983070889742fc80854ce5673ebb6707ea77d86c2fc29
FirstEnergy,hash_sha256,995d22ede53ba9243ea82ab6e166df240880759cc9160acc6a1ee9efb8db591c
FirstEnergy,hash_sha256,96a60e9e25f4cf99f2f71d4c4b783ff22d2db1d18673b1f0f47f1452087e2565
FirstEnergy,hash_sha256,92145633823ed4a4c56915ab81f6bc0582fd27700d8515400edd0a153d39829f
FirstEnergy,hash_sha256,85d5c21050bd72c4ee02060d0be234ac35babc785567dca5bfc1d299150576b7
FirstEnergy,hash_sha256,697e5c66b37dca99fc17ba919792e7429efbff1df26cea3c26866eff269b0055
FirstEnergy,hash_sha256,64e1ff22f2fa4bd22982bee7c1799b3b9d5593d4ac8a8bb3194f23738e38d8ab
FirstEnergy,hash_sha256,58ed2920063d16078decd59bcf02229022dc15d4f3a4c96fca6d2b8752322ec9
FirstEnergy,hash_sha256,5503f926631aec5bc21e4e2b698a698b243521a2f62f5ff24dda6b6f9c9f2d76
FirstEnergy,hash_sha256,525b00fc379589a73ebd6471e440220c886b969332360e17fb44d5175b3d945e
